Tanggal,Terinfeksi,Sembuh,Meninggal,Total Kasus
2/2/2021,1478,7756,194000,9428
2/3/2021,1351,8024,197000,9572
2/4/2021,1103,8452,202000,9757
2/5/2021,,,,
2/6/2021,1227,8591,203000,10021
2/7/2021,1293,8597,206000,10096
2/8/2021,1249,8719,207000,10175
2/9/2021,,,,
2/10/2021,982,9136,208000,10326
2/11/2021,995,9275,215000,10485
2/12/2021,890,9516,216000,10622
2/13/2021,1003,9520,216000,10739
2/14/2021,,,,
2/15/2021,1108,9613,218000,10939
2/16/2021,875,10021,224000,11120
2/17/2021,988,10064,225000,11277
2/18/2021,,,,
2/19/2021,897,10314,228000,11439
2/20/2021,861,10410,228000,11499
2/21/2021,946,10437,229000,11612
2/22/2021,1055,10434,233000,11722
2/23/2021,,,,
2/24/2021,1049,10784,241000,12074
2/25/2021,1205,10846,242000,12293
2/26/2021,1187,11054,242000,12483
2/27/2021,,,,
2/28/2021,1319,11141,244000,12704
3/1/2021,1379,11219,244000,12842
3/2/2021,1166,11556,246000,12968
3/3/2021,1183,11664,246000,13093
3/4/2021,,,,
3/5/2021,1198,11929,251000,13378
3/6/2021,1143,12071,251000,13465
3/7/2021,1192,12110,253000,13555
3/8/2021,,,,
3/9/2021,1204,12288,255000,13747
3/10/2021,1276,12295,255000,13826
3/11/2021,978,12683,255000,13916
3/12/2021,,,,
3/13/2021,943,12947,257000,14147
3/14/2021,906,13062,258000,14226
3/15/2021,958,13102,260000,14320
3/16/2021,1002,13126,262000,14390
3/17/2021,,,,
3/18/2021,867,13457,265000,14589
3/19/2021,854,13541,265000,14660
3/20/2021,905,13553,266000,14724
3/21/2021,,,,
3/22/2021,735,13842,267000,14844
3/23/2021,778,13855,268000,14901
3/24/2021,743,13953,268000,14964
3/25/2021,715,14048,268000,15031
3/26/2021,,,,
3/27/2021,618,14270,269000,15157
3/28/2021,693,14285,271000,15249
3/29/2021,717,14333,271000,15321
3/30/2021,,,,
3/31/2021,679,14494,271000,15444
4/1/2021,694,14538,273000,15505
4/2/2021,720,14614,273000,15607
4/3/2021,759,14614,273000,15646
4/4/2021,,,,
4/5/2021,671,14779,279000,15729
4/6/2021,720,14800,280000,15800
4/7/2021,638,14932,280000,15850
4/8/2021,,,,
4/9/2021,665,15011,282000,15958
4/10/2021,715,15041,283000,16039
4/11/2021,746,15068,284000,16098
4/12/2021,,,,
4/13/2021,660,15268,285000,16213
4/14/2021,679,15304,285000,16268
4/15/2021,718,15327,286000,16331
4/16/2021,752,15355,286000,16393
4/17/2021,,,,
4/18/2021,755,15538,286000,16579
4/19/2021,669,15686,286000,16641
4/20/2021,708,15744,291000,16743
4/21/2021,,,,
4/22/2021,758,15781,291000,16830
4/23/2021,794,15788,291000,16873
4/24/2021,629,16024,292000,16945
4/25/2021,694,16028,292000,17014
4/26/2021,,,,
4/27/2021,777,16051,294000,17122
4/28/2021,723,16187,294000,17204
4/29/2021,623,16389,294000,17306
4/30/2021,,,,
5/1/2021,792,16414,295000,17501
5/2/2021,833,16415,297000,17545
5/3/2021,840,16442,298000,17580
5/4/2021,895,16446,300000,17641
5/5/2021,,,,
5/6/2021,872,16593,301000,17766
5/7/2021,913,16635,303000,17851
5/8/2021,707,16935,304000,17946
5/9/2021,,,,
5/10/2021,656,17087,305000,18048
5/11/2021,605,17191,305000,18101
5/12/2021,622,17246,306000,18174
5/13/2021,687,17252,307000,18246
5/14/2021,,,,
5/15/2021,798,17261,309000,18368
5/16/2021,745,17341,317000,18403
5/17/2021,621,17512,317000,18450
5/18/2021,,,,
5/19/2021,514,17776,323000,18613
5/20/2021,517,17821,324000,18662
5/21/2021,464,17969,326000,18759
5/22/2021,,,,
5/23/2021,496,18064,326000,18886
5/24/2021,,,,
5/25/2021,439,18284,336000,19059
5/26/2021,,,,
5/27/2021,,,,
5/28/2021,516,18449,341000,19306
5/29/2021,554,18489,342000,19385
5/30/2021,546,18555,342000,19443
5/31/2021,,,,
6/1/2021,666,18567,342000,19575
6/2/2021,686,18596,344000,19626
6/3/2021,763,18613,348000,19724
6/4/2021,688,18787,351000,19826
6/5/2021,,,,
6/6/2021,756,18892,355000,20003
